"","fid","x","submission_date","meta_instance_id","village","age","gender","ethnicity","education","born","household_size","hs","household_comp","hc_gen","hc_det","young_boy","adolesc_boy","men","young_girl","adolesc_girl","women","food_uncertainty","selling_possessions","farm","livestock","conflict_type","crop_threat_rate","farm_size","field_sight","farm_walk","months_planted","crops_planted","crop_prot","other_crop_prot","crop_species","other_crop_species","top_species","other_top_species","elephant_crops_vao","herd_comp","cattle","sheep","goat","donkey","dog","chicken","duck","other_livestock","livestock_threat","small_lv_prot","small_lv_prot_other_day","small_lv_prot_other_night","med_lar_lv_prot","med_lar_lv_prot_other_day","med_lar_lv_prot_other_night","med_lar_lv_guard_day","guard_ave_day","med_lar_lv_guard_night","guard_ave_night","lv_small_loss","chicken_loss","duck_loss","other_small_loss","species_small_lv","species_small_lv_other","species_concern_small_lv","species_concern_small_lv_other","lv_med_loss","cattle_loss","goat_loss","sheep_loss","donkey_loss","dog_loss","other_med_loss","species_med_lv","species_med_lv_other","species_concern_med_lv","species_concern_med_lv_other","lv_ele_vao","lv_hyena_vao","lv_lion_vao","lv_leopard_vao","species_structures","household_location_altitude","household_location_accuracy","key","elephant_c","baboon_c","buffalo_c","hippo_c","other_c","elephant_l","hyena_l","lion_l","leopard_l","conflict","species","ID","crop","c70","c2070","river","road","ID","GSE_slope30m","ID","build_dens","ID","Settle_Dist"
"1",1,1,"NA","uuid:d29d8fec-ad5d-429d-a281-d1ff7a08fa50","Mihale",35,"Female","Msukuma","Primary","No",7,1,"Young_boy Adolesc_boy Men Young_girl Women",1,1,1,2,1,2,-2147483648,1,2,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",3,"No","15_30",10,2,"Guarding Shouting Chasing Music","","Baboon Elephant","","Elephant","","Never","Cattle Sheep Goat Dog Chicken",15,10,5,-2147483648,3,18,-2147483648,-2147483648,"Wildlife","Day_dog Night_contained","NA","NA","Day_guard Night_contain","","NA","Men",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat Sheep",-2147483648,2,3,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","",1178,4.8,"uuid:d29d8fec-ad5d-429d-a281-d1ff7a08fa50",1,1,0,0,0,0,1,0,0,1,"elephant",1,0.417159221076747,0.0255326461046934,0.34604811668396,0.0288659799844027,0.00994272623211145,1,3.046606090059,1,24.1915512084961,1,1682.55163574219
"2",2,2,"NA","uuid:2a5138c7-092c-4816-88d2-443ff78de712","Mihale",34,"Female","Mwikizu","Primary","Yes",14,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,4,1,1,3,2,3,3,"Few_times","Yes","Yes","Crop_damage","Wildlife",7,"Yes","15_30",9,4,"Shouting Chasing","","Elephant","","Elephant","","Often","Cattle Sheep Goat Dog Chicken",6,4,6,-2147483648,3,8,-2147483648,-2147483648,"Disease","Day_dog Night_contained","NA","NA","Day_guard Night_contain","","NA","Men",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1230.5,4.1,"uuid:2a5138c7-092c-4816-88d2-443ff78de712",1,0,0,0,0,0,0,0,0,1,"elephant",2,0.444765177548683,0.0232646055519581,0.30317297577858,0.0289003439247608,0.0109736537560821,2,3.86093579310832,2,31.538143157959,2,2550.36767578125
"3",3,3,"NA","uuid:b6e98c09-8785-4063-8b7f-8c092c7ec34c","Mihale",48,"Male","Msukuma","Primary","Yes",11,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,2,1,2,4,1,1,3,"Frequently","Yes","Yes","Crop_damage","Wildlife",5,"Yes","0_15",9,3,"Shouting Chasing","","Baboon Elephant","","Elephant","","Often","Goat Chicken",-2147483648,-2147483648,8,-2147483648,-2147483648,5,-2147483648,-2147483648,"Low_productivity","Day_contain Night_contained","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1199,3.5,"uuid:b6e98c09-8785-4063-8b7f-8c092c7ec34c",1,1,0,0,0,0,0,0,0,1,"elephant",3,0.444765177548683,0.0232646055519581,0.30317297577858,0.0289003439247608,0.0109736537560821,3,3.58652146323116,3,29.131721496582,3,1783.83312988281
"4",4,4,"NA","uuid:7aa130fc-b652-4d83-99c1-67b3e1719052","Mihale",76,"Female","Mkurya","None","No",17,1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,2,-2147483648,5,5,2,3,2,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",11,"No","15_30",9,5,"Shouting Chasing","","Baboon Elephant","","Elephant","","Always","Cattle Sheep Goat Dog",12,18,7,-2147483648,2,-2147483648,-2147483648,-2147483648,"Low_productivity","","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Cattle Goat",2,5,-2147483648,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Often","","","Elephant",1163.2,4.3,"uuid:7aa130fc-b652-4d83-99c1-67b3e1719052",1,1,0,0,0,0,1,0,0,1,"elephant",4,0.314158075601374,0.0235624276101589,0.400595635175705,0.0265979375690222,0.0144100803881884,4,3.09035725230212,4,23.9114379882812,4,688.089965820312
"5",5,5,"NA","uuid:ea24ebb2-430a-4a1a-aea3-8eae4c554207","Nyamatoke",35,"Female","Msukuma","Primary","Yes",9,1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,2,-2147483648,2,2,1,2,3,"Few_times","Yes","No","Crop_damage","Wildlife",3,"Yes","0_15",9,3,"Shouting Chasing","","Elephant","","Elephant","","Often","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1205.8,4.2,"uuid:ea24ebb2-430a-4a1a-aea3-8eae4c554207",1,0,0,0,0,0,0,0,0,1,"elephant",5,0.371626575028637,0.0262542963027954,0.336231380701065,0.0210194736719131,0.013791523873806,5,4.39301891344374,5,37.2931861877441,5,1460.88269042969
"6",6,6,"NA","uuid:47a27367-34ec-4528-bc45-10ea4e86536a","Nyamatoke",52,"Male","Msukuma","Primary","No",4,1,"Young_boy Adolesc_boy Men Women",1,1,1,1,1,-2147483648,-2147483648,1,1,"Never","Yes","No","Crop_damage","Wildlife",3,"No","30_45",9,3,"Guarding Shouting","","Elephant","","Elephant","","Often","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1205.2,4.9,"uuid:47a27367-34ec-4528-bc45-10ea4e86536a",1,0,0,0,0,0,0,0,0,1,"elephant",6,0.396930126002291,0.0268041230738163,0.323654055595398,0.0210080184042454,0.013069873675704,6,4.21734014040045,6,39.9160614013672,6,2050.37475585938
"7",7,7,"NA","uuid:a0ea6d16-95ac-4f21-abcc-1937edc4fb56","Bukore",57,"Male","Msukuma","None","No",15,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,2,2,3,3,2,3,2,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med Structure","Wildlife",12,"No","30_45",10,5,"Shouting Chasing","","Baboon Elephant","","Elephant","","Often","Cattle Sheep Goat Dog Chicken Duck",18,8,15,-2147483648,5,4,3,-2147483648,"Grazing_land","Night_contained Day_none","NA","NA","Day_guard Night_contain","","NA","Men",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Goat Sheep",-2147483648,2,2,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","Elephant",1222.7,4.9,"uuid:a0ea6d16-95ac-4f21-abcc-1937edc4fb56",1,1,0,0,0,0,1,0,0,1,"elephant",7,0.451237113402062,0.034902635961771,0.276449024677277,0.0253035500645638,0.0122451316565275,7,4.10762948742403,7,37.4841728210449,7,2400.79150390625
"8",8,8,"NA","uuid:5c862221-a6af-4532-8a2e-0afbc0616946","Hunyari",32,"Female","Mwikizu","Primary","Yes",6,1,"Young_boy Men Adolesc_girl Women",1,1,3,-2147483648,1,-2147483648,1,1,2,"Few_times","Yes","Yes","Crop_damage Structure","Wildlife",4,"Yes","0_15",9,4,"Fire Shouting Chasing","","Elephant","","Elephant","","Always","Cattle Dog",18,-2147483648,-2147483648,-2147483648,1,-2147483648,-2147483648,-2147483648,"Weather","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","Elephant",1235.1,5,"uuid:5c862221-a6af-4532-8a2e-0afbc0616946",1,0,0,0,0,0,0,0,0,1,"elephant",8,0.624558991981672,0.0157961063086987,0.152107670903206,0.0309049263596535,0.00887743383646011,8,2.73155970337081,8,35.4215240478516,8,4226.90283203125
"9",9,9,"NA","uuid:151e7d22-16fd-4f9e-8c53-28b4c06d1ad6","Kihumbu",53,"Female","Mwikizu","Primary","Yes",12,1,"Young_boy Adolesc_boy Men Young_girl Adolesc_girl Women",1,1,3,2,1,2,2,2,3,"Few_times","Yes","Yes","Crop_damage Livestock_loss_med","Wildlife",6,"Yes","0_15",9,2,"Shouting Chasing","","Elephant","","Elephant","","Sometimes","Cattle Sheep Goat Dog",21,13,17,-2147483648,5,-2147483648,-2147483648,-2147483648,"Wildlife","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Men",2,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Cattle Goat Sheep",3,20,18,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Rarely","","","",1250.3,4.9,"uuid:151e7d22-16fd-4f9e-8c53-28b4c06d1ad6",1,0,0,0,0,0,1,0,0,1,"elephant",9,0.537273768613975,0.0688659772276878,0.13690721988678,0.0268728528171778,0.00705612823367119,9,4.61952805382034,9,40.1070442199707,9,5591.7470703125
"10",10,10,"NA","uuid:b00ee836-f986-4922-a989-e3e738d2f4d9","Iharara",40,"Female","Mwisenye","Primary","Yes",6,1,"Young_boy Men Young_girl Adolesc_girl Women",1,1,2,-2147483648,1,1,1,1,2,"Few_times","No","No","No_conflict","",NA,"","",-2147483648,-2147483648,"","","","","","","","",-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"","","NA","NA","","","NA","",-2147483648,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","",-2147483648,-2147483648,-2147483648,"NA",-2147483648,-2147483648,"","NA","","NA","","","","","",1232.9,4.3,"uuid:b00ee836-f986-4922-a989-e3e738d2f4d9",0,0,0,0,0,0,0,0,0,0,"elephant",10,0.46192439862543,0.0130240553990006,0.163115695118904,0.0183734241873026,0.00596792669966817,10,2.14493091618892,10,48.5868225097656,10,5944.2490234375
"11",11,11,"NA","uuid:43f89d27-ac7b-4b2c-95cd-92473964bd19","Iharara",28,"Female","Mtaturu","O_level","Yes",5,1,"Young_boy Men Young_girl Women",1,1,1,-2147483648,1,2,-2147483648,1,2,"Frequently","Yes","Yes","Crop_damage Livestock_loss_med","Weather",3,"Yes","0_15",9,2,"Fire Shouting Chasing","","Elephant","","Elephant","","Sometimes","Cattle Sheep Goat",15,30,18,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,"Low_productivity","NA_noSmall","NA","NA","Day_guard Night_contain","","NA","Adolesc_boys Men",1,"NA","NA","",-2147483648,"NA","NA","","NA","","NA","Sheep",-2147483648,-2147483648,4,"NA",-2147483648,-2147483648,"Hyena","NA","Hyena","NA","","Never","","","",1182.3,4.7,"uuid:43f89d27-ac7b-4b2c-95cd-92473964bd19",1,0,0,0,0,0,1,0,0,1,"elephant",11,0.421809851088202,0.0161397475749254,0.175578460097313,0.0180756021291018,0.00155784655362368,11,1.92682848071598,11,31.3089599609375,11,3936.35668945312
