"","WAIC","SE","dWAIC","dSE","pWAIC","weight"
"mc17",671.033653233114,41.5360971644591,0,NA,55.8682036251122,0.992824582709268
"mc2",681.283198355314,39.4390673363223,10.2495451222001,NA,41.0295281988291,0.00590489361543242
"mc15",684.355902905786,41.0822013132616,13.3222496726722,NA,49.866880133679,0.00127052367529952
"mc9",773.883685940959,42.5871453695662,102.850032707845,NA,36.3904013090227,4.60544592753132e-23
"mc1",780.206795982097,42.0036394855641,109.173142748983,NA,42.6547784564941,1.95085857970035e-24
"mc7",785.040814482731,42.7646656626407,114.007161249618,NA,42.9310092941803,1.73993092755752e-25
"mc14",787.935194459389,42.5628230641692,116.901541226275,NA,49.9632002960197,4.09284579007359e-26
"mc13",788.166789254326,42.6054166652316,117.133136021212,NA,48.297482819933,3.6453162443263e-26
"mc4",788.488197305924,42.7101704285439,117.45454407281,NA,45.4628348138145,3.10414742707851e-26
"mc3",789.182470209999,42.2253281388057,118.148816976885,NA,45.6708201785058,2.19372858199835e-26
"mc6",795.886266351644,42.8032420537106,124.85261311853,NA,48.3712505334024,7.68196028596391e-28
"mc0",796.998507190162,42.4846229522623,125.964853957048,NA,43.4819323395267,4.40506202949389e-28
"mc11",797.248731091218,42.5745042034718,126.215077858104,NA,45.184528865807,3.8870184185975e-28
"mc5",797.279362834076,42.4106730004415,126.245709600963,NA,45.0963051119892,3.82793892609238e-28
"mc10",799.824251230209,42.7046315947851,128.790597997095,NA,45.8064790589332,1.07238197685697e-28
"mc8",800.859940595506,42.8808895183814,129.826287362392,NA,45.8485715114386,6.38928731724345e-29
